Loan_ID,Interest_Rate,Surge_Pricing_Type
10164525,1,2
10164526,1,3
10164527,1,3
10164528,1,3
10164529,1,3
10164530,1,3
10164531,1,3
10164532,1,2
10164533,1,2
10164534,1,2
10164535,1,3
10164536,1,3
10164537,1,3
10164538,1,2
10164539,1,3
10164540,1,3
10164541,1,3
10164542,1,3
10164543,1,3
10164544,1,2
10164545,1,3
10164546,1,3
10164547,1,3
10164548,1,2
10164549,1,3
10164550,1,3
10164551,1,3
10164552,1,3
10164553,1,3
10164554,1,3
10164555,1,2
10164556,1,2
10164557,1,2
10164558,1,3
10164559,1,3
10164560,1,3
10164561,1,3
10164562,1,2
10164563,1,3
10164564,1,1
10164565,1,3
10164566,1,2
10164567,1,3
10164568,1,3
10164569,1,3
10164570,1,3
10164571,1,2
10164572,1,3
10164573,1,2
10164574,1,3
10164575,1,2
10164576,1,3
10164577,1,2
10164578,1,3
10164579,1,3
10164580,1,2
10164581,1,2
10164582,1,2
10164583,1,2
10164584,1,3
10164585,1,2
10164586,1,2
10164587,1,3
10164588,1,2
10164589,1,3
10164590,1,2
10164591,1,2
10164592,1,2
10164593,1,3
10164594,1,2
10164595,1,3
10164596,1,2
10164597,1,2
10164598,1,3
10164599,1,3
10164600,1,3
10164601,1,2
10164602,1,2
10164603,1,2
10164604,1,3
10164605,1,2
10164606,1,2
10164607,1,3
10164608,1,2
10164609,1,2
10164610,1,2
10164611,1,2
10164612,1,2
10164613,1,2
10164614,1,3
10164615,1,3
10164616,1,3
10164617,1,3
10164618,1,3
10164619,1,3
10164620,1,3
10164621,1,2
10164622,1,3
10164623,1,3
10164624,1,2
10164625,1,2
10164626,1,2
10164627,1,3
10164628,1,2
10164629,1,2
10164630,1,2
10164631,1,3
10164632,1,2
10164633,1,3
10164634,1,2
10164635,1,2
10164636,1,3
10164637,1,2
10164638,1,2
10164639,1,3
10164640,1,1
10164641,1,2
10164642,1,2
10164643,1,3
10164644,1,3
10164645,1,3
10164646,1,3
10164647,1,2
10164648,1,3
10164649,1,3
10164650,1,3
10164651,1,3
10164652,1,2
10164653,1,3
10164654,1,2
10164655,1,2
10164656,1,2
10164657,1,3
10164658,1,3
10164659,1,3
10164660,1,3
10164661,1,3
10164662,1,3
10164663,1,3
10164664,1,2
10164665,1,3
10164666,1,2
10164667,1,2
10164668,1,2
10164669,1,3
10164670,1,2
10164671,1,3
10164672,1,3
10164673,1,2
10164674,1,2
10164675,1,2
10164676,1,3
10164677,1,2
10164678,1,2
10164679,1,3
10164680,1,3
10164681,1,3
10164682,1,2
10164683,1,3
10164684,1,3
10164685,1,3
10164686,1,2
10164687,1,1
10164688,1,3
10164689,1,2
10164690,1,1
10164691,1,2
10164692,1,2
10164693,1,3
10164694,1,3
10164695,1,2
10164696,1,3
10164697,1,2
10164698,1,2
10164699,1,2
10164700,1,2
10164701,1,3
10164702,1,2
10164703,1,2
10164704,1,2
10164705,1,3
10164706,1,2
10164707,1,3
10164708,1,2
10164709,1,2
10164710,1,2
10164711,1,2
10164712,1,1
10164713,1,2
10164714,1,3
10164715,1,3
10164716,1,3
10164717,1,3
10164718,1,2
10164719,1,3
10164720,1,3
10164721,1,3
10164722,1,2
10164723,1,3
10164724,1,2
10164725,1,2
10164726,1,3
10164727,1,3
10164728,1,3
10164729,1,3
10164730,1,2
10164731,1,3
10164732,1,3
10164733,1,2
10164734,1,3
10164735,1,2
10164736,1,2
10164737,1,2
10164738,1,3
10164739,1,2
10164740,1,3
10164741,1,2
10164742,1,2
10164743,1,3
10164744,1,2
10164745,1,2
10164746,1,2
10164747,1,3
10164748,1,1
10164749,1,3
10164750,1,2
10164751,1,1
10164752,1,2
10164753,1,2
10164754,1,3
10164755,1,1
10164756,1,3
10164757,1,2
10164758,1,2
10164759,1,3
10164760,1,3
10164761,1,2
10164762,1,2
10164763,1,3
10164764,1,3
10164765,1,3
10164766,1,2
10164767,1,3
10164768,1,2
10164769,1,2
10164770,1,3
10164771,1,2
10164772,1,3
10164773,1,2
10164774,1,2
10164775,1,2
10164776,1,3
10164777,1,2
10164778,1,2
10164779,1,2
10164780,1,3
10164781,1,3
10164782,1,2
10164783,1,3
10164784,1,2
10164785,1,3
10164786,1,1
10164787,1,3
10164788,1,3
10164789,1,3
10164790,1,2
10164791,1,1
10164792,1,3
10164793,1,3
10164794,1,3
10164795,1,3
10164796,1,3
10164797,1,2
10164798,1,2
10164799,1,2
10164800,1,3
10164801,1,2
10164802,1,2
10164803,1,3
10164804,1,1
10164805,1,3
10164806,1,3
10164807,1,2
10164808,1,3
10164809,1,2
10164810,1,3
10164811,1,2
10164812,1,2
10164813,1,3
10164814,1,2
10164815,1,2
10164816,1,2
10164817,1,3
10164818,1,2
10164819,1,2
10164820,1,2
10164821,1,2
10164822,1,2
10164823,1,3
10164824,1,3
10164825,1,2
10164826,1,2
10164827,1,2
10164828,1,3
10164829,1,3
10164830,1,3
10164831,1,3
10164832,1,3
10164833,1,3
10164834,1,1
10164835,1,3
10164836,1,2
10164837,1,3
10164838,1,3
10164839,1,3
10164840,1,2
10164841,1,2
10164842,1,2
10164843,1,3
10164844,1,2
10164845,1,3
10164846,1,3
10164847,1,3
10164848,1,3
10164849,1,2
10164850,1,3
10164851,1,3
10164852,1,2
10164853,1,2
10164854,1,2
10164855,1,3
10164856,1,2
10164857,1,3
10164858,1,3
10164859,1,3
10164860,1,3
10164861,1,2
10164862,1,3
10164863,1,3
10164864,1,3
10164865,1,3
10164866,1,3
10164867,1,3
10164868,1,2
10164869,1,3
10164870,1,2
10164871,1,2
10164872,1,3
10164873,1,2
10164874,1,2
10164875,1,2
10164876,1,2
10164877,1,2
10164878,1,2
10164879,1,2
10164880,1,3
10164881,1,2
10164882,1,2
10164883,1,2
10164884,1,2
10164885,1,2
10164886,1,2
10164887,1,2
10164888,1,2
10164889,1,3
10164890,1,2
10164891,1,3
10164892,1,3
10164893,1,3
10164894,1,3
10164895,1,2
10164896,1,2
10164897,1,3
10164898,1,3
10164899,1,2
10164900,1,2
10164901,1,2
10164902,1,2
10164903,1,3
10164904,1,2
10164905,1,2
10164906,1,3
10164907,1,2
10164908,1,3
10164909,1,2
10164910,1,3
10164911,1,3
10164912,1,2
10164913,1,2
10164914,1,3
10164915,1,3
10164916,1,2
10164917,1,3
10164918,1,2
10164919,1,2
10164920,1,2
10164921,1,3
10164922,1,2
10164923,1,3
10164924,1,3
10164925,1,2
10164926,1,2
10164927,1,3
10164928,1,2
10164929,1,2
10164930,1,2
10164931,1,3
10164932,1,3
10164933,1,3
10164934,1,2
10164935,1,2
10164936,1,2
10164937,1,2
10164938,1,2
10164939,1,2
10164940,1,2
10164941,1,3
10164942,1,2
10164943,1,2
10164944,1,2
10164945,1,2
10164946,1,3
10164947,1,2
10164948,1,2
10164949,1,3
10164950,1,2
10164951,1,3
10164952,1,3
10164953,1,3
10164954,1,3
10164955,1,3
10164956,1,2
10164957,1,2
10164958,1,3
10164959,1,3
10164960,1,3
10164961,1,3
10164962,1,3
10164963,1,3
10164964,1,3
10164965,1,2
10164966,1,2
10164967,1,3
10164968,1,2
10164969,1,2
10164970,1,3
10164971,1,2
10164972,1,3
10164973,1,2
10164974,1,3
10164975,1,3
10164976,1,2
10164977,1,2
10164978,1,3
10164979,1,2
10164980,1,2
10164981,1,2
10164982,1,3
10164983,1,3
10164984,1,2
10164985,1,2
10164986,1,2
10164987,1,3
10164988,1,1
10164989,1,2
10164990,1,3
10164991,1,2
10164992,1,3
10164993,1,2
10164994,1,2
10164995,1,3
10164996,1,3
10164997,1,2
10164998,1,2
10164999,1,3
10165000,1,3
10165001,1,3
10165002,1,2
10165003,1,3
10165004,1,3
10165005,1,3
10165006,1,2
10165007,1,2
10165008,1,2
10165009,1,3
10165010,1,3
10165011,1,3
10165012,1,3
10165013,1,2
10165014,1,3
10165015,1,3
10165016,1,3
10165017,1,3
10165018,1,3
10165019,1,3
10165020,1,2
10165021,1,3
10165022,1,2
10165023,1,2
10165024,1,3
10165025,1,2
10165026,1,3
10165027,1,2
10165028,1,3
10165029,1,2
10165030,1,3
10165031,1,2
10165032,1,2
10165033,1,2
10165034,1,3
10165035,1,3
10165036,1,3
10165037,1,3
10165038,1,2
10165039,1,3
10165040,1,2
10165041,1,3
10165042,1,3
10165043,1,2
10165044,1,3
10165045,1,2
10165046,1,2
10165047,1,2
10165048,1,2
10165049,1,3
10165050,1,2
10165051,1,2
10165052,1,3
10165053,1,2
10165054,1,2
10165055,1,2
10165056,1,2
10165057,1,3
10165058,1,2
10165059,1,3
10165060,1,3
10165061,1,2
10165062,1,3
10165063,1,2
10165064,1,3
10165065,1,3
10165066,1,2
10165067,1,3
10165068,1,2
10165069,1,2
10165070,1,3
10165071,1,3
10165072,1,2
10165073,1,2
10165074,1,2
10165075,1,2
10165076,1,2
10165077,1,2
10165078,1,3
10165079,1,3
10165080,1,3
10165081,1,2
10165082,1,2
10165083,1,2
10165084,1,2
10165085,1,3
10165086,1,2
10165087,1,3
10165088,1,1
10165089,1,2
10165090,1,2
10165091,1,2
10165092,1,3
10165093,1,3
10165094,1,2
10165095,1,3
10165096,1,3
10165097,1,2
10165098,1,3
10165099,1,2
10165100,1,3
10165101,1,3
10165102,1,1
10165103,1,3
10165104,1,2
10165105,1,2
10165106,1,3
10165107,1,2
10165108,1,3
10165109,1,2
10165110,1,1
10165111,1,2
10165112,1,3
10165113,1,3
10165114,1,3
10165115,1,2
10165116,1,3
10165117,1,2
10165118,1,3
10165119,1,1
10165120,1,3
10165121,1,3
10165122,1,1
10165123,1,2
10165124,1,2
10165125,1,3
10165126,1,3
10165127,1,2
10165128,1,3
10165129,1,2
10165130,1,3
10165131,1,3
10165132,1,2
10165133,1,3
10165134,1,2
10165135,1,2
10165136,1,2
10165137,1,3
10165138,1,2
10165139,1,2
10165140,1,1
10165141,1,3
10165142,1,2
10165143,1,3
10165144,1,2
10165145,1,2
10165146,1,3
10165147,1,2
10165148,1,3
10165149,1,2
10165150,1,3
10165151,1,2
10165152,1,2
10165153,1,3
10165154,1,2
10165155,1,2
10165156,1,3
10165157,1,1
10165158,1,3
10165159,1,3
10165160,1,3
10165161,1,3
10165162,1,2
10165163,1,2
10165164,1,2
10165165,1,3
10165166,1,3
10165167,1,3
10165168,1,2
10165169,1,3
10165170,1,3
10165171,1,2
10165172,1,2
10165173,1,3
10165174,1,2
10165175,1,3
10165176,1,2
10165177,1,2
10165178,1,2
10165179,1,2
10165180,1,2
10165181,1,3
10165182,1,3
10165183,1,2
10165184,1,2
10165185,1,3
10165186,1,2
10165187,1,2
10165188,1,3
10165189,1,2
10165190,1,2
10165191,1,3
10165192,1,2
10165193,1,3
10165194,1,3
10165195,1,3
10165196,1,2
10165197,1,2
10165198,1,3
10165199,1,3
10165200,1,3
10165201,1,2
10165202,1,3
10165203,1,2
10165204,1,2
10165205,1,3
10165206,1,2
10165207,1,2
10165208,1,3
10165209,1,2
10165210,1,2
10165211,1,3
10165212,1,2
10165213,1,3
10165214,1,3
10165215,1,3
10165216,1,2
10165217,1,2
10165218,1,3
10165219,1,3
10165220,1,3
10165221,1,2
10165222,1,2
10165223,1,3
10165224,1,3
10165225,1,2
10165226,1,2
10165227,1,2
10165228,1,2
10165229,1,3
10165230,1,2
10165231,1,2
10165232,1,3
10165233,1,3
10165234,1,2
10165235,1,2
10165236,1,2
10165237,1,3
10165238,1,2
10165239,1,2
10165240,1,3
10165241,1,3
10165242,1,2
10165243,1,2
10165244,1,2
10165245,1,2
10165246,1,3
10165247,1,2
10165248,1,2
10165249,1,3
10165250,1,2
10165251,1,2
10165252,1,2
10165253,1,2
10165254,1,3
10165255,1,2
10165256,1,2
10165257,1,3
10165258,1,3
10165259,1,2
10165260,1,2
10165261,1,3
10165262,1,2
10165263,1,3
10165264,1,3
10165265,1,2
10165266,1,3
10165267,1,3
10165268,1,2
10165269,1,3
10165270,1,2
10165271,1,2
10165272,1,3
10165273,1,3
10165274,1,2
10165275,1,3
10165276,1,2
10165277,1,2
10165278,1,2
10165279,1,3
10165280,1,2
10165281,1,3
10165282,1,2
10165283,1,3
10165284,1,3
10165285,1,2
10165286,1,2
10165287,1,3
10165288,1,3
10165289,1,2
10165290,1,2
10165291,1,3
10165292,1,2
10165293,1,3
10165294,1,3
10165295,1,3
10165296,1,3
10165297,1,2
10165298,1,2
10165299,1,2
10165300,1,3
10165301,1,3
10165302,1,3
10165303,1,2
10165304,1,3
10165305,1,3
10165306,1,2
10165307,1,3
10165308,1,2
10165309,1,2
10165310,1,2
10165311,1,2
10165312,1,3
10165313,1,3
10165314,1,3
10165315,1,2
10165316,1,3
10165317,1,3
10165318,1,2
10165319,1,3
10165320,1,3
10165321,1,3
10165322,1,2
10165323,1,3
10165324,1,2
10165325,1,2
10165326,1,2
10165327,1,2
10165328,1,3
10165329,1,2
10165330,1,2
10165331,1,2
10165332,1,3
10165333,1,2
10165334,1,3
10165335,1,3
10165336,1,2
10165337,1,2
10165338,1,3
10165339,1,3
10165340,1,2
10165341,1,2
10165342,1,2
10165343,1,2
10165344,1,3
10165345,1,2
10165346,1,2
10165347,1,2
10165348,1,3
10165349,1,3
10165350,1,2
10165351,1,2
10165352,1,3
10165353,1,3
10165354,1,2
10165355,1,2
10165356,1,2
10165357,1,2
10165358,1,2
10165359,1,2
10165360,1,2
10165361,1,3
10165362,1,2
10165363,1,2
10165364,1,2
10165365,1,3
10165366,1,3
10165367,1,2
10165368,1,2
10165369,1,3
10165370,1,2
10165371,1,3
10165372,1,3
10165373,1,2
10165374,1,2
10165375,1,3
10165376,1,3
10165377,1,2
10165378,1,2
10165379,1,2
10165380,1,2
10165381,1,2
10165382,1,2
10165383,1,2
10165384,1,2
10165385,1,3
10165386,1,2
10165387,1,3
10165388,1,3
10165389,1,2
10165390,1,1
10165391,1,3
10165392,1,2
10165393,1,3
10165394,1,2
10165395,1,2
10165396,1,2
10165397,1,2
10165398,1,3
10165399,1,3
10165400,1,2
10165401,1,3
10165402,1,3
10165403,1,2
10165404,1,2
10165405,1,2
10165406,1,2
10165407,1,3
10165408,1,2
10165409,1,3
10165410,1,3
10165411,1,3
10165412,1,3
10165413,1,2
10165414,1,2
10165415,1,3
10165416,1,2
10165417,1,2
10165418,1,2
10165419,1,2
10165420,1,3
10165421,1,3
10165422,1,2
10165423,1,2
10165424,1,2
10165425,1,3
10165426,1,3
10165427,1,2
10165428,1,3
10165429,1,3
10165430,1,3
10165431,1,1
10165432,1,3
10165433,1,3
10165434,1,3
10165435,1,2
10165436,1,3
10165437,1,3
10165438,1,3
10165439,1,2
10165440,1,2
10165441,1,2
10165442,1,3
10165443,1,2
10165444,1,3
10165445,1,3
10165446,1,2
10165447,1,2
10165448,1,2
10165449,1,2
10165450,1,2
10165451,1,3
10165452,1,2
10165453,1,3
10165454,1,3
10165455,1,3
10165456,1,2
10165457,1,3
10165458,1,2
10165459,1,2
10165460,1,3
10165461,1,3
10165462,1,2
10165463,1,3
10165464,1,2
10165465,1,2
10165466,1,1
10165467,1,3
10165468,1,2
10165469,1,2
10165470,1,3
10165471,1,3
10165472,1,2
10165473,1,2
10165474,1,2
10165475,1,2
10165476,1,3
10165477,1,2
10165478,1,3
10165479,1,3
10165480,1,1
10165481,1,2
10165482,1,3
10165483,1,3
10165484,1,3
10165485,1,2
10165486,1,3
10165487,1,2
10165488,1,3
10165489,1,2
10165490,1,3
10165491,1,2
10165492,1,2
10165493,1,2
10165494,1,2
10165495,1,2
10165496,1,2
10165497,1,3
10165498,1,2
10165499,1,2
10165500,1,3
10165501,1,2
10165502,1,2
10165503,1,2
10165504,1,1
10165505,1,3
10165506,1,3
10165507,1,3
10165508,1,2
10165509,1,3
10165510,1,2
10165511,1,1
10165512,1,2
10165513,1,2
10165514,1,2
10165515,1,2
10165516,1,3
10165517,1,3
10165518,1,3
10165519,1,2
10165520,1,2
10165521,1,3
10165522,1,3
10165523,1,2
10165524,1,1
10165525,1,3
10165526,1,2
10165527,1,3
10165528,1,3
10165529,1,3
10165530,1,3
10165531,1,3
10165532,1,2
10165533,1,3
10165534,1,2
10165535,1,2
10165536,1,2
10165537,1,2
10165538,1,2
10165539,1,3
10165540,1,2
10165541,1,2
10165542,1,3
10165543,1,2
10165544,1,2
10165545,1,3
10165546,1,3
10165547,1,3
10165548,1,3
10165549,1,3
10165550,1,3
10165551,1,2
10165552,1,3
10165553,1,2
10165554,1,3
10165555,1,2
10165556,1,2
10165557,1,3
10165558,1,3
10165559,1,3
10165560,1,2
10165561,1,2
10165562,1,3
10165563,1,3
10165564,1,3
10165565,1,2
10165566,1,2
10165567,1,2
10165568,1,2
10165569,1,3
10165570,1,2
10165571,1,3
10165572,1,3
10165573,1,2
10165574,1,3
10165575,1,2
10165576,1,3
10165577,1,3
10165578,1,3
10165579,1,3
10165580,1,2
10165581,1,2
10165582,1,2
10165583,1,2
10165584,1,2
10165585,1,2
10165586,1,3
10165587,1,3
10165588,1,3
10165589,1,2
10165590,1,2
10165591,1,2
10165592,1,2
10165593,1,2
10165594,1,2
10165595,1,3
10165596,1,3
10165597,1,2
10165598,1,2
10165599,1,2
10165600,1,2
10165601,1,2
10165602,1,1
10165603,1,2
10165604,1,2
10165605,1,2
10165606,1,3
10165607,1,2
10165608,1,3
10165609,1,2
10165610,1,2
10165611,1,2
10165612,1,2
10165613,1,2
10165614,1,3
10165615,1,2
10165616,1,2
10165617,1,3
10165618,1,2
10165619,1,2
10165620,1,3
10165621,1,1
10165622,1,3
10165623,1,3
10165624,1,2
10165625,1,3
10165626,1,3
10165627,1,3
10165628,1,3
10165629,1,2
10165630,1,2
10165631,1,2
10165632,1,3
10165633,1,2
10165634,1,3
10165635,1,3
10165636,1,3
10165637,1,3
10165638,1,2
10165639,1,3
10165640,1,2
10165641,1,2
10165642,1,2
10165643,1,3
10165644,1,2
10165645,1,3
10165646,1,3
10165647,1,3
10165648,1,2
10165649,1,3
10165650,1,3
10165651,1,3
10165652,1,3
10165653,1,3
10165654,1,3
10165655,1,2
10165656,1,3
10165657,1,2
10165658,1,2
10165659,1,2
10165660,1,3
10165661,1,3
10165662,1,3
10165663,1,2
10165664,1,2
10165665,1,1
10165666,1,3
10165667,1,3
10165668,1,2
10165669,1,2
10165670,1,3
10165671,1,2
10165672,1,2
10165673,1,2
10165674,1,3
10165675,1,3
10165676,1,2
10165677,1,2
10165678,1,3
10165679,1,2
10165680,1,3
10165681,1,2
10165682,1,3
10165683,1,3
10165684,1,2
10165685,1,3
10165686,1,2
10165687,1,2
10165688,1,2
10165689,1,3
10165690,1,3
10165691,1,2
10165692,1,3
10165693,1,2
10165694,1,2
10165695,1,2
10165696,1,3
10165697,1,3
10165698,1,3
10165699,1,3
10165700,1,3
10165701,1,3
10165702,1,3
10165703,1,3
10165704,1,3
10165705,1,2
10165706,1,3
10165707,1,3
10165708,1,3
10165709,1,3
10165710,1,3
10165711,1,2
10165712,1,2
10165713,1,1
10165714,1,3
10165715,1,2
10165716,1,2
10165717,1,3
10165718,1,3
10165719,1,2
10165720,1,3
10165721,1,3
10165722,1,2
10165723,1,2
10165724,1,3
10165725,1,2
10165726,1,3
10165727,1,3
10165728,1,3
10165729,1,3
10165730,1,2
10165731,1,2
10165732,1,3
10165733,1,2
10165734,1,2
10165735,1,2
10165736,1,2
10165737,1,2
10165738,1,1
10165739,1,3
10165740,1,2
10165741,1,2
10165742,1,2
10165743,1,3
10165744,1,2
10165745,1,2
10165746,1,2
10165747,1,2
10165748,1,2
10165749,1,3
10165750,1,2
10165751,1,2
10165752,1,3
10165753,1,3
10165754,1,3
10165755,1,2
10165756,1,3
10165757,1,2
10165758,1,2
10165759,1,3
10165760,1,2
10165761,1,2
10165762,1,2
10165763,1,2
10165764,1,2
10165765,1,3
10165766,1,2
10165767,1,3
10165768,1,3
10165769,1,2
10165770,1,3
10165771,1,2
10165772,1,3
10165773,1,3
10165774,1,3
10165775,1,3
10165776,1,1
10165777,1,3
10165778,1,3
10165779,1,2
10165780,1,2
10165781,1,2
10165782,1,2
10165783,1,3
10165784,1,3
10165785,1,3
10165786,1,3
10165787,1,3
10165788,1,3
10165789,1,2
10165790,1,2
10165791,1,3
10165792,1,2
10165793,1,3
10165794,1,2
10165795,1,2
10165796,1,2
10165797,1,3
10165798,1,2
10165799,1,2
10165800,1,2
10165801,1,3
10165802,1,3
10165803,1,3
10165804,1,2
10165805,1,2
10165806,1,2
10165807,1,2
10165808,1,3
10165809,1,3
10165810,1,3
10165811,1,3
10165812,1,3
10165813,1,3
10165814,1,3
10165815,1,2
10165816,1,2
10165817,1,2
10165818,1,2
10165819,1,2
10165820,1,3
10165821,1,3
10165822,1,2
10165823,1,2
10165824,1,2
10165825,1,3
10165826,1,3
10165827,1,3
10165828,1,3
10165829,1,2
10165830,1,2
10165831,1,2
10165832,1,2
10165833,1,3
10165834,1,2
10165835,1,2
10165836,1,2
10165837,1,3
10165838,1,2
10165839,1,3
10165840,1,3
10165841,1,3
10165842,1,2
10165843,1,3
10165844,1,3
10165845,1,2
10165846,1,2
10165847,1,2
10165848,1,3
10165849,1,3
10165850,1,2
10165851,1,3
10165852,1,3
10165853,1,3
10165854,1,3
10165855,1,3
10165856,1,3
10165857,1,2
10165858,1,3
10165859,1,2
10165860,1,2
10165861,1,2
10165862,1,2
10165863,1,3
10165864,1,3
10165865,1,2
10165866,1,3
10165867,1,3
10165868,1,3
10165869,1,2
10165870,1,3
10165871,1,3
10165872,1,3
10165873,1,3
10165874,1,2
10165875,1,3
10165876,1,2
10165877,1,2
10165878,1,2
10165879,1,2
10165880,1,2
10165881,1,2
10165882,1,3
10165883,1,2
10165884,1,2
10165885,1,3
10165886,1,2
10165887,1,2
10165888,1,3
10165889,1,2
10165890,1,3
10165891,1,3
10165892,1,3
10165893,1,2
10165894,1,2
10165895,1,3
10165896,1,2
10165897,1,3
10165898,1,2
10165899,1,2
10165900,1,2
10165901,1,3
10165902,1,2
10165903,1,3
10165904,1,3
10165905,1,3
10165906,1,2
10165907,1,2
10165908,1,2
10165909,1,2
10165910,1,3
10165911,1,3
10165912,1,3
10165913,1,2
10165914,1,3
10165915,1,2
10165916,1,2
10165917,1,2
10165918,1,3
10165919,1,2
10165920,1,2
10165921,1,3
10165922,1,2
10165923,1,3
10165924,1,2
10165925,1,2
10165926,1,2
10165927,1,3
10165928,1,2
10165929,1,2
10165930,1,2
10165931,1,2
10165932,1,2
10165933,1,2
10165934,1,3
10165935,1,3
10165936,1,3
10165937,1,2
10165938,1,2
10165939,1,2
10165940,1,2
10165941,1,2
10165942,1,3
10165943,1,3
10165944,1,3
10165945,1,3
10165946,1,2
10165947,1,2
10165948,1,2
10165949,1,2
10165950,1,3
10165951,1,3
10165952,1,3
10165953,1,2
10165954,1,3
10165955,1,3
10165956,1,2
10165957,1,2
10165958,1,2
10165959,1,2
10165960,1,3
10165961,1,2
10165962,1,3
10165963,1,3
10165964,1,3
10165965,1,2
10165966,1,3
10165967,1,2
10165968,1,3
10165969,1,3
10165970,1,3
10165971,1,3
10165972,1,2
10165973,1,3
10165974,1,3
10165975,1,3
10165976,1,2
10165977,1,2
10165978,1,2
10165979,1,3
10165980,1,2
10165981,1,3
10165982,1,1
10165983,1,2
10165984,1,3
10165985,1,2
10165986,1,3
10165987,1,2
10165988,1,3
10165989,1,2
10165990,1,2
10165991,1,3
10165992,1,2
10165993,1,2
10165994,1,2
10165995,1,3
10165996,1,2
10165997,1,3
10165998,1,2
10165999,1,3
10166000,1,3
10166001,1,3
10166002,1,2
10166003,1,3
10166004,1,3
10166005,1,3
10166006,1,3
10166007,1,3
10166008,1,2
10166009,1,2
10166010,1,2
10166011,1,3
10166012,1,3
10166013,1,2
10166014,1,2
10166015,1,2
10166016,1,3
10166017,1,2
10166018,1,3
10166019,1,3
10166020,1,2
10166021,1,2
10166022,1,2
10166023,1,2
10166024,1,3
10166025,1,3
10166026,1,3
10166027,1,3
10166028,1,2
10166029,1,3
10166030,1,2
10166031,1,2
10166032,1,3
10166033,1,3
10166034,1,2
10166035,1,3
10166036,1,1
10166037,1,2
10166038,1,2
10166039,1,3
10166040,1,2
10166041,1,2
10166042,1,3
10166043,1,3
10166044,1,3
10166045,1,2
10166046,1,3
10166047,1,2
10166048,1,2
10166049,1,2
10166050,1,3
10166051,1,2
10166052,1,2
